行业中文名,行业简称
申万IT服务2,SWITFW2
申万IT服务3,SWITFW3
申万LED,SWLED
申万安防设备,SWAFSB
申万氨纶,SWAL
申万白酒,SWBJ
申万白酒2,SWBJ2
申万白酒3,SWBJ3
申万白色家电,SWBSJD
申万百货,SWBH
申万百货零售3,SWBHLS3
申万板材,SWBC
申万半导体,SWBDT
申万半导体材料,SWBDTCL
申万半导体设备,SWBDTSB
申万包装印刷,SWBZYS
申万包装印刷3,SWBZYS3
申万保健品,SWBJP
申万保险2,SWBX2
申万保险3,SWBX3
申万被动元件,SWBDYJ
申万玻璃玻纤,SWBLBX
申万玻璃制造,SWBLZZ
申万玻璃制造3,SWBLZZ3
申万玻纤,SWBX
申万玻纤制造,SWBXZZ
申万采掘,SWCJ
申万采掘服务,SWCJFW
申万彩电,SWCD
申万餐饮2,SWCY2
申万仓储物流,SWCCWL
申万产业地产,SWCYDC
申万超市,SWCS
申万车身附件及饰件,SWCSFJJSJ
申万成品家居,SWCPJJ
申万城轨建设,SWCGJS
申万城商行2,SWCSH2
申万城商行3,SWCSH3
申万乘用车,SWCYC
申万出版,SWCB
申万厨房电器,SWCFDQ
申万厨房小家电,SWCFXJD
申万厨卫电器,SWCWDQ
申万储能设备,SWCNSB
申万畜禽加工,SWXQJG
申万畜禽饲料,SWXQSL
申万畜禽养殖3,SWXQYZ3
申万传媒,SWCM
申万传媒2,SWCM2
申万创业,SWCY
申万垂直应用软件,SWCZYYRJ
申万瓷砖地板,SWCZDB
申万磁性材料,SWCXCL
申万大气治理,SWDQZL
申万大众出版,SWDZCB
申万大宗用纸,SWDZYZ
申万氮肥,SWDF
申万地面兵装2,SWDMBZ2
申万地面兵装3,SWDMBZ3
申万低压设备,SWDYSB
申万底盘与发动机系统,SWDPYFDJXT
申万电池,SWDC
申万电池化学品,SWDCHXP
申万电工仪器仪表,SWDGYQYB
申万电机2,SWDJ2
申万电机3,SWDJ3
申万电力,SWDL
申万电力设备,SWDLSB
申万电能综合服务,SWDNZHFW
申万电气设备2,SWDQSB2
申万电气自动化设备,SWDQZDHSB
申万电气自控设备3,SWDQZKSB3
申万电商服务,SWDSFW
申万电视广播2,SWDSGB2
申万电视广播3,SWDSGB3
申万电网设备,SWDWSB
申万电网自动化设备,SWDWZDHSB
申万电源设备3,SWDYSB3
申万电子,SWDZ
申万电子化学品2,SWDZHXP2
申万电子化学品3,SWDZHXP3
申万电子零部件制造,SWDZLBJZZ
申万电子系统组装,SWDZXTZZ
申万调味发酵品,SWDWFJP
申万调味发酵品2,SWDWFJP2
申万调味发酵品3,SWDWFJP3
申万定制家居,SWDZJJ
申万动力煤,SWDLM
申万动物保健2,SWDWBJ2
申万动物保健3,SWDWBJ3
申万多业态零售,SWDYTLS
申万多元金融,SWDYJR
申万多元金融3,SWDYJR3
申万房地产,SWFDC
申万房地产服务,SWFDCFW
申万房地产开发,SWFDCKF
申万房屋建设2,SWFWJS2
申万房屋建设3,SWFWJS3
申万纺织服饰,SWFZFS
申万纺织服装设备,SWFZFZSB
申万纺织化学制品,SWFZHXZP
申万纺织制造,SWFZZZ
申万非白酒,SWFBJ
申万非金属材料2,SWFJSCL2
申万非金属材料3,SWFJSCL3
申万非汽车交运设备2,SWFQCJYSB2
申万非银金融,SWFYJR
申万非运动服装,SWFYDFZ
申万分立器件,SWFLQJ
申万风电零部件,SWFDLBJ
申万风电设备,SWFDSB
申万风力发电,SWFLFD
申万服务,SWFW
申万服装,SWFZ
申万服装家纺,SWFZJF
申万氟化工,SWFHG
申万辅料,SWFL
申万复合肥,SWFHF
申万改性塑料,SWGXSL
申万钢铁,SWGT
申万钢铁2,SWGT2
申万港口,SWGK
申万港口2,SWGK2
申万高低压设备,SWGDYSB
申万高速公路,SWGSGL
申万高速公路2,SWGSGL2
申万高压设备,SWGYSB
申万个护用品,SWGHYP
申万工程机械,SWGCJX
申万工程机械器件,SWGCJXQJ
申万工程机械整机,SWGCJXZJ
申万工程咨询服务2,SWGCZXFW2
申万工程咨询服务3,SWGCZXFW3
申万工控设备,SWGKSB
申万工控自动化,SWGKZDH
申万工业金属,SWGYJS
申万公交,SWGJ
申万公交2,SWGJ2
申万公路货运,SWGLHY
申万公用事业,SWGYSY
申万股份制银行2,SWGFZYH2
申万股份制银行3,SWGFZYH3
申万固废治理,SWGFZL
申万管材,SWGC
申万光伏电池组件,SWGFDCZJ
申万光伏发电,SWGFFD
申万光伏辅材,SWGFFC
申万光伏加工设备,SWGFJGSB
申万光伏设备,SWGFSB
申万光学光电子,SWGXGDZ
申万光学元件,SWGXYJ
申万广告营销,SWGGYX
申万轨交设备2,SWGJSB2
申万轨交设备3,SWGJSB3
申万贵金属,SWGJS
申万国防军工,SWGFJG
申万国际工程,SWGJGC
申万国有大型银行2,SWGYDXYH2
申万国有大型银行3,SWGYDXYH3
申万果蔬加工,SWGSJG
申万海洋捕捞,SWHYBL
申万航海装备2,SWHHZB2
申万航海装备3,SWHHZB3
申万航空航天设备3,SWHKHTSB3
申万航空机场,SWHKJC
申万航空运输,SWHKYS
申万航空运输2,SWHKYS2
申万航空装备2,SWHKZB2
申万航空装备3,SWHKZB3
申万航天装备2,SWHTZB2
申万航天装备3,SWHTZB3
申万航运2,SWHY2
申万航运港口,SWHYGK
申万合成革,SWHCG
申万合成树脂,SWHCSZ
申万黑色家电,SWHSJD
申万横向通用软件,SWHXTYRJ
申万烘焙食品,SWHBSP
申万互联网传媒,SWHLWCM
申万互联网电商,SWHLWDS
申万互联网信息服务,SWHLWXXFW
申万化工新材料2,SWHGXCL2
申万化学工程,SWHXGC
申万化学纤维,SWHXXW
申万化学原料,SWHXYL
申万化学制剂,SWHXZJ
申万化学制品,SWHXZP
申万化学制药,SWHXZY
申万化妆品,SWHZP
申万化妆品制造及其他,SWHZPZZJQT
申万环保,SWHB
申万环保工程及服务2,SWHBGCJFW2
申万环保工程及服务3,SWHBGCJFW3
申万环保设备,SWHBSB
申万环保设备2,SWHBSB2
申万环保设备3,SWHBSB3
申万环境治理,SWHJZL
申万黄金3,SWHJ3
申万黄酒,SWHJ
申万会展服务,SWHZFW
申万火电设备,SWHDSB
申万火力发电,SWHLFD
申万机场,SWJC
申万机场2,SWJC2
申万机床工具,SWJCGJ
申万机器人,SWJQR
申万机械基础件,SWJXJCJ
申万机械设备,SWJXSB
申万机械设备1,SWJXSB1
申万基础化工,SWJCHG
申万基础建设,SWJCJS
申万基础建设3,SWJCJS3
申万基建市政工程,SWJJSZGC
申万激光设备,SWJGSB
申万集成电路,SWJCDL
申万集成电路封测,SWJCDLFC
申万计算机,SWJSJ
申万计算机设备,SWJSJSB
申万计算机设备3,SWJSJSB3
申万计算机应用,SWJSJYY
申万家电零部件,SWJDLBJ
申万家电零部件2,SWJDLBJ2
申万家电零部件3,SWJDLBJ3
申万家居用品,SWJJYP
申万家具,SWJJ
申万家用电器,SWJYDQ
申万钾肥,SWJF
申万价值发现,SWJZFX
申万价值稳健,SWJZWJ
申万价值优势,SWJZYS
申万价值优势收益,SWJZYSSY
申万检测服务,SWJCFW
